frame,time_seconds,rank,frequency_hz,magnitude_db
44,0.088000,5,4125.000,13.171
44,0.088000,6,4148.438,13.028
44,0.088000,7,4101.562,11.768
44,0.088000,8,4265.625,10.910
45,0.090000,1,4218.750,17.767
45,0.090000,2,4171.875,14.205
45,0.090000,3,4125.000,13.525
45,0.090000,4,4195.312,13.344
45,0.090000,5,4242.188,12.953
45,0.090000,6,4101.562,11.896
45,0.090000,7,4265.625,10.494
45,0.090000,8,4148.438,10.046
46,0.092000,1,4218.750,17.424
46,0.092000,2,4171.875,14.937
46,0.092000,3,4195.312,14.606
46,0.092000,4,4125.000,13.764
46,0.092000,5,4242.188,12.092
46,0.092000,6,4101.562,11.561
46,0.092000,7,4265.625,9.828
46,0.092000,8,4406.250,7.365
47,0.094000,1,4218.750,16.808
47,0.094000,2,4195.312,16.231
47,0.094000,3,4171.875,16.084
47,0.094000,4,4125.000,13.998
47,0.094000,5,4101.562,10.669
47,0.094000,6,4242.188,10.524
47,0.094000,7,4265.625,9.110
47,0.094000,8,4148.438,8.175
48,0.096000,1,4195.312,17.551
48,0.096000,2,4171.875,17.264
48,0.096000,3,4218.750,15.998
48,0.096000,4,4125.000,14.290
48,0.096000,5,4148.438,11.679
48,0.096000,6,4101.562,9.123
48,0.096000,7,4265.625,8.423
48,0.096000,8,4242.188,7.897
49,0.098000,1,4195.312,18.393
49,0.098000,2,4171.875,18.252
49,0.098000,3,4218.750,15.127
49,0.098000,4,4125.000,14.650
49,0.098000,5,4148.438,14.523
49,0.098000,6,4265.625,7.610
49,0.098000,7,4101.562,6.873
49,0.098000,8,140.625,6.387
50,0.100000,1,4171.875,18.966
50,0.100000,2,4195.312,18.741
50,0.100000,3,4148.438,16.566
50,0.100000,4,4125.000,14.995
50,0.100000,5,4218.750,14.385
50,0.100000,6,4265.625,6.512
50,0.100000,7,140.625,6.246
50,0.100000,8,4101.562,4.177
51,0.102000,1,4171.875,19.338
51,0.102000,2,4195.312,18.651
51,0.102000,3,4148.438,18.029
51,0.102000,4,4125.000,15.259
51,0.102000,5,4218.750,13.865
51,0.102000,6,140.625,5.951
51,0.102000,7,4265.625,5.311
51,0.102000,8,4312.500,4.365
52,0.104000,1,4171.875,19.325
52,0.104000,2,4148.438,19.063
52,0.104000,3,4195.312,18.166
52,0.104000,4,4125.000,15.415
52,0.104000,5,4218.750,13.600
52,0.104000,6,140.625,5.429
52,0.104000,7,4265.625,4.204
52,0.104000,8,4312.500,3.991
53,0.106000,1,4148.438,19.778
53,0.106000,2,4171.875,18.856
53,0.106000,3,4195.312,17.365
53,0.106000,4,4125.000,15.464
53,0.106000,5,4218.750,13.434
53,0.106000,6,140.625,4.589
53,0.106000,7,4453.125,4.159
53,0.106000,8,4500.000,3.849
54,0.108000,1,4148.438,20.245
54,0.108000,2,4171.875,17.842
54,0.108000,3,4195.312,16.346
54,0.108000,4,4125.000,15.434
54,0.108000,5,4218.750,13.133
54,0.108000,6,4242.188,4.788
54,0.108000,7,4476.562,4.639
54,0.108000,8,4453.125,4.513
55,0.110000,1,4148.438,20.506
55,0.110000,2,4171.875,16.152
55,0.110000,3,4125.000,15.387
55,0.110000,4,4195.312,15.189
55,0.110000,5,4218.750,12.536
55,0.110000,6,4242.188,5.272
55,0.110000,7,4476.562,5.036
55,0.110000,8,4453.125,4.869
56,0.112000,1,4148.438,20.589
56,0.112000,2,4125.000,15.407
56,0.112000,3,4195.312,13.911
56,0.112000,4,4171.875,13.635
56,0.112000,5,4218.750,11.552
56,0.112000,6,4242.188,5.159
56,0.112000,7,4453.125,5.068
56,0.112000,8,4476.562,4.958
57,0.114000,1,4148.438,20.543
57,0.114000,2,4125.000,15.576
57,0.114000,3,4195.312,12.395
57,0.114000,4,4171.875,10.232
57,0.114000,5,4218.750,10.196
57,0.114000,6,4453.125,4.947
57,0.114000,7,4242.188,4.516
57,0.114000,8,4476.562,4.513
58,0.116000,1,4148.438,20.440
58,0.116000,2,4125.000,15.947
58,0.116000,3,4195.312,10.474
58,0.116000,4,4218.750,8.463
58,0.116000,5,4171.875,6.945
58,0.116000,6,4664.062,4.611
58,0.116000,7,4453.125,4.501
58,0.116000,8,4429.688,4.362
59,0.118000,1,4148.438,20.355
59,0.118000,2,4125.000,16.522
59,0.118000,3,4195.312,7.961
59,0.118000,4,4171.875,7.074
59,0.118000,5,4218.750,6.367
59,0.118000,6,4406.250,5.291
59,0.118000,7,4664.062,5.152
59,0.118000,8,4429.688,4.977
60,0.120000,1,4148.438,20.342
60,0.120000,2,4125.000,17.221
60,0.120000,3,4171.875,9.301
60,0.120000,4,4406.250,6.151
60,0.120000,5,4664.062,5.419
60,0.120000,6,4429.688,5.202
60,0.120000,7,4640.625,5.159
60,0.120000,8,4382.812,5.035
61,0.122000,1,4148.438,20.419
61,0.122000,2,4125.000,17.920
61,0.122000,3,4171.875,10.999
61,0.122000,4,4406.250,6.567
61,0.122000,5,4640.625,5.965
61,0.122000,6,4101.562,5.818
61,0.122000,7,4382.812,5.512
61,0.122000,8,4664.062,5.491
62,0.124000,1,4148.438,20.561
62,0.124000,2,4125.000,18.510
62,0.124000,3,4171.875,11.936
62,0.124000,4,4101.562,7.428
62,0.124000,5,4406.250,6.700
62,0.124000,6,4640.625,6.547
62,0.124000,7,4382.812,5.801
62,0.124000,8,4664.062,5.463
63,0.126000,1,4148.438,20.724
63,0.126000,2,4125.000,18.909
63,0.126000,3,4171.875,12.324
63,0.126000,4,4101.562,8.706
63,0.126000,5,4640.625,6.929
63,0.126000,6,4406.250,6.569
63,0.126000,7,4382.812,5.908
63,0.126000,8,4664.062,5.324
64,0.128000,1,4148.438,20.847
64,0.128000,2,4125.000,19.085
64,0.128000,3,4171.875,12.470
64,0.128000,4,4101.562,9.608
64,0.128000,5,4640.625,7.179
64,0.128000,6,4406.250,6.232
64,0.128000,7,4382.812,5.764
64,0.128000,8,4664.062,5.017
65,0.130000,1,4148.438,20.879
65,0.130000,2,4125.000,19.032
65,0.130000,3,4171.875,12.633
65,0.130000,4,4101.562,10.068
65,0.130000,5,4640.625,7.313
65,0.130000,6,4406.250,5.723
65,0.130000,7,4382.812,5.435
65,0.130000,8,4265.625,5.262
66,0.132000,1,4148.438,20.804
66,0.132000,2,4125.000,18.741
66,0.132000,3,4171.875,12.902
66,0.132000,4,4101.562,10.082
66,0.132000,5,4640.625,7.305
66,0.132000,6,4265.625,5.823
66,0.132000,7,4406.250,5.192
66,0.132000,8,4382.812,4.979
67,0.134000,1,4148.438,20.620
67,0.134000,2,4125.000,18.205
67,0.134000,3,4171.875,13.217
67,0.134000,4,4101.562,9.649
67,0.134000,5,4640.625,7.212
67,0.134000,6,4265.625,6.188
67,0.134000,7,4078.125,5.574
67,0.134000,8,4054.688,5.260
68,0.136000,1,4148.438,20.340
68,0.136000,2,4125.000,17.409
68,0.136000,3,4171.875,13.456
68,0.136000,4,4101.562,8.763
68,0.136000,5,4640.625,7.008
68,0.136000,6,4265.625,6.205
68,0.136000,7,4078.125,6.127
68,0.136000,8,4054.688,5.377
69,0.138000,1,4148.438,19.974
69,0.138000,2,4125.000,16.348
69,0.138000,3,4171.875,13.536
69,0.138000,4,4101.562,7.398
69,0.138000,5,4640.625,6.604
69,0.138000,6,4078.125,6.156
69,0.138000,7,4265.625,5.932
69,0.138000,8,4054.688,5.382
70,0.140000,1,4148.438,19.541
70,0.140000,2,4125.000,15.029
70,0.140000,3,4171.875,13.394
70,0.140000,4,4640.625,6.042
70,0.140000,5,4500.000,5.830
70,0.140000,6,4078.125,5.581
70,0.140000,7,4101.562,5.580
70,0.140000,8,4265.625,5.469
71,0.142000,1,4148.438,19.056
71,0.142000,2,4125.000,13.525
71,0.142000,3,4171.875,13.001
71,0.142000,4,4500.000,6.656
71,0.142000,5,4593.750,5.713
71,0.142000,6,4054.688,5.400
71,0.142000,7,4640.625,5.335
71,0.142000,8,4429.688,5.078
72,0.144000,1,4148.438,18.551
72,0.144000,2,4171.875,12.330
72,0.144000,3,4125.000,12.032
72,0.144000,4,4500.000,7.315
72,0.144000,5,4593.750,6.707
72,0.144000,6,4429.688,6.534
72,0.144000,7,4054.688,5.378
72,0.144000,8,4617.188,5.082
73,0.146000,1,4148.438,18.060
73,0.146000,2,4171.875,11.379
73,0.146000,3,4125.000,10.911
73,0.146000,4,4500.000,7.761
73,0.146000,5,4593.750,7.565
73,0.146000,6,4429.688,7.488
73,0.146000,7,4617.188,6.051
73,0.146000,8,4570.312,5.794
74,0.148000,1,4148.438,17.613
74,0.148000,2,4125.000,10.457
74,0.148000,3,4171.875,10.265
74,0.148000,4,4593.750,8.182
74,0.148000,5,4429.688,7.982
74,0.148000,6,4500.000,7.929
74,0.148000,7,4617.188,6.515
74,0.148000,8,4570.312,6.301
75,0.150000,1,4148.438,17.246
75,0.150000,2,4125.000,10.542
75,0.150000,3,4171.875,9.254
75,0.150000,4,4593.750,8.507
75,0.150000,5,4429.688,8.104
75,0.150000,6,4500.000,7.849
75,0.150000,7,4617.188,6.563
75,0.150000,8,4570.312,6.555
76,0.152000,1,4148.438,16.986
76,0.152000,2,4125.000,10.794
76,0.152000,3,4171.875,8.730
76,0.152000,4,4593.750,8.482
76,0.152000,5,4429.688,7.922
76,0.152000,6,4500.000,7.571
76,0.152000,7,4453.125,6.686
76,0.152000,8,4359.375,6.648
77,0.154000,1,4148.438,16.849
77,0.154000,2,4125.000,10.943
77,0.154000,3,4171.875,8.884
77,0.154000,4,4593.750,8.157
77,0.154000,5,4429.688,7.543
77,0.154000,6,4359.375,7.541
77,0.154000,7,4500.000,7.003
77,0.154000,8,4453.125,6.952
78,0.156000,1,4148.438,16.797
78,0.156000,2,4125.000,10.948
78,0.156000,3,4171.875,9.615
78,0.156000,4,4359.375,8.235
78,0.156000,5,4593.750,7.492
78,0.156000,6,4429.688,7.200
78,0.156000,7,4453.125,6.585
78,0.156000,8,4476.562,6.468
79,0.158000,1,4148.438,16.783
79,0.158000,2,4125.000,10.839
79,0.158000,3,4171.875,10.607
79,0.158000,4,4359.375,8.707
79,0.158000,5,4429.688,7.023
79,0.158000,6,4476.562,6.645
79,0.158000,7,4593.750,6.363
79,0.158000,8,4382.812,6.259
80,0.160000,1,4148.438,16.759
80,0.160000,2,4171.875,11.601
80,0.160000,3,4125.000,10.658
80,0.160000,4,4359.375,8.908
80,0.160000,5,4382.812,7.233
80,0.160000,6,4429.688,7.091
80,0.160000,7,4476.562,6.788
80,0.160000,8,4523.438,5.485
81,0.162000,1,4148.438,16.691
81,0.162000,2,4171.875,12.445
81,0.162000,3,4125.000,10.417
81,0.162000,4,4359.375,8.956
81,0.162000,5,4382.812,8.007
81,0.162000,6,4429.688,7.310
81,0.162000,7,4476.562,6.964
81,0.162000,8,4523.438,5.976
82,0.164000,1,4148.438,16.566
82,0.164000,2,4171.875,13.071
82,0.164000,3,4125.000,10.077
82,0.164000,4,4359.375,8.908
82,0.164000,5,4382.812,8.573
82,0.164000,6,4429.688,7.516
82,0.164000,7,4476.562,7.284
82,0.164000,8,4523.438,6.436
83,0.166000,1,4148.438,16.326
83,0.166000,2,4171.875,13.553
83,0.166000,3,4125.000,9.659
83,0.166000,4,4359.375,8.926
83,0.166000,5,4382.812,8.912
83,0.166000,6,4476.562,7.797
83,0.166000,7,4429.688,7.665
83,0.166000,8,4523.438,6.738
84,0.168000,1,4148.438,15.909
84,0.168000,2,4171.875,13.960
84,0.168000,3,4125.000,9.183
84,0.168000,4,4382.812,9.049
84,0.168000,5,4359.375,9.035
84,0.168000,6,4476.562,8.493
84,0.168000,7,4429.688,7.686
84,0.168000,8,4523.438,6.780
85,0.170000,1,4148.438,15.302
85,0.170000,2,4171.875,14.271
85,0.170000,3,4476.562,9.300
85,0.170000,4,4359.375,9.210
85,0.170000,5,4382.812,8.940
85,0.170000,6,4125.000,8.581
85,0.170000,7,4429.688,7.571
85,0.170000,8,4500.000,6.880
86,0.172000,1,4148.438,14.501
86,0.172000,2,4171.875,14.463
86,0.172000,3,4476.562,10.092
86,0.172000,4,4359.375,9.346
86,0.172000,5,4500.000,8.822
86,0.172000,6,4382.812,8.577
86,0.172000,7,4125.000,7.771
86,0.172000,8,4453.125,7.704
87,0.174000,1,4171.875,14.533
87,0.174000,2,4148.438,13.521
87,0.174000,3,4476.562,10.830
87,0.174000,4,4500.000,10.029
87,0.174000,5,4359.375,9.337
87,0.174000,6,4453.125,8.556
87,0.174000,7,4382.812,7.937
87,0.174000,8,4429.688,6.862
88,0.176000,1,4171.875,14.469
88,0.176000,2,4148.438,12.419
88,0.176000,3,4476.562,11.495
88,0.176000,4,4500.000,10.649
88,0.176000,5,4359.375,9.149
88,0.176000,6,4453.125,8.682
88,0.176000,7,4312.500,7.517
88,0.176000,8,4382.812,6.967
89,0.178000,1,4171.875,14.269
89,0.178000,2,4476.562,12.019
89,0.178000,3,4148.438,11.290
89,0.178000,4,4500.000,10.809
89,0.178000,5,4359.375,8.735
89,0.178000,6,4453.125,8.186
89,0.178000,7,4312.500,8.158
89,0.178000,8,4335.938,8.052
90,0.180000,1,4171.875,13.958
90,0.180000,2,4476.562,12.324
90,0.180000,3,4500.000,10.636
90,0.180000,4,4148.438,10.267
90,0.180000,5,4335.938,8.991
90,0.180000,6,4312.500,8.685
90,0.180000,7,4195.312,8.108
90,0.180000,8,4359.375,8.095
91,0.182000,1,4171.875,13.485
91,0.182000,2,4476.562,12.430
91,0.182000,3,4500.000,10.162
91,0.182000,4,4148.438,9.584
91,0.182000,5,4335.938,9.369
91,0.182000,6,4312.500,9.072
91,0.182000,7,4195.312,8.306
91,0.182000,8,4359.375,7.191
92,0.184000,1,4171.875,12.818
92,0.184000,2,4476.562,12.416
92,0.184000,3,4500.000,9.364
92,0.184000,4,4148.438,9.324
92,0.184000,5,4312.500,9.303
92,0.184000,6,4335.938,9.284
92,0.184000,7,4195.312,8.035
92,0.184000,8,4359.375,5.967
93,0.186000,1,4476.562,12.309
93,0.186000,2,4171.875,11.944
93,0.186000,3,4312.500,9.359
93,0.186000,4,4148.438,9.291
93,0.186000,5,4335.938,8.801
93,0.186000,6,4500.000,8.315
93,0.186000,7,4195.312,7.313
93,0.186000,8,4242.188,5.721
94,0.188000,1,4476.562,12.089
94,0.188000,2,4171.875,10.870
94,0.188000,3,4312.500,9.199
94,0.188000,4,4148.438,9.160
94,0.188000,5,4335.938,8.029
94,0.188000,6,4500.000,7.259
94,0.188000,7,4195.312,6.215
94,0.188000,8,4242.188,5.171
95,0.190000,1,4476.562,11.793
95,0.190000,2,4171.875,9.701
95,0.190000,3,4312.500,8.715
95,0.190000,4,4148.438,8.629
95,0.190000,5,4335.938,7.230
95,0.190000,6,4500.000,6.525
95,0.190000,7,4125.000,5.484
95,0.190000,8,4195.312,4.738
96,0.192000,1,4476.562,11.550
96,0.192000,2,4171.875,8.474
96,0.192000,3,4312.500,7.891
96,0.192000,4,4148.438,7.591
96,0.192000,5,4125.000,7.226
96,0.192000,6,4335.938,6.605
96,0.192000,7,4500.000,6.367
